state,time,17_gyro_x,17_gyro_y,17_gyro_z,17_acc_x,17_acc_y,17_acc_z,27_gyro_x,27_gyro_y,27_gyro_z,27_acc_x,27_acc_y,27_acc_z,22_gyro_x,22_gyro_y,22_gyro_z,22_acc_x,22_acc_y,22_acc_z,temp(c),alt(ft)
0,1524960046.5770,0.053,0.618,-0.023,-0.023,-0.015,1.125,-2.130,-1.588,0.511,0.033,-0.025,1.047,-2.313,-1.511,0.542,0.029,-0.017,1.047,22.44,170
0,1524960046.5950,0.191,0.687,-0.160,-0.020,-0.023,1.127,-2.198,-1.534,0.366,0.022,-0.026,1.044,-2.366,-1.634,0.473,0.030,-0.026,1.046,22.56,170
0,1524960046.6129,0.008,0.634,-0.374,-0.022,-0.020,1.125,-2.275,-1.496,0.664,0.029,-0.020,1.052,-2.221,-1.595,0.695,0.033,-0.018,1.052,22.56,170
0,1524960046.6308,0.031,0.710,-0.321,-0.018,-0.013,1.119,-2.145,-1.511,0.397,0.035,-0.020,1.044,-2.336,-1.626,0.626,0.037,-0.017,1.047,22.50,172
0,1524960046.6487,0.053,0.687,-0.130,-0.021,-0.015,1.122,-2.244,-1.542,0.618,0.030,-0.020,1.048,-2.244,-1.489,0.786,0.028,-0.020,1.042,22.50,172
0,1524960046.6665,0.221,0.863,-0.130,-0.020,-0.014,1.115,-2.153,-1.702,0.725,0.030,-0.025,1.046,-2.237,-1.588,0.427,0.030,-0.019,1.048,22.44,175
0,1524960046.6845,0.168,0.786,-0.168,-0.020,-0.017,1.117,-2.206,-1.656,0.481,0.025,-0.031,1.048,-2.198,-1.710,0.664,0.026,-0.022,1.049,22.44,175
0,1524960046.7024,0.229,0.679,-0.198,-0.021,-0.018,1.120,-2.092,-1.519,0.656,0.032,-0.018,1.053,-2.298,-1.626,0.641,0.036,-0.018,1.054,22.50,174
0,1524960046.7203,0.176,0.656,-0.069,-0.024,-0.017,1.119,-2.107,-1.527,0.412,0.027,-0.023,1.046,-2.351,-1.542,0.443,0.023,-0.021,1.048,22.50,174
0,1524960046.7382,0.031,0.618,-0.038,-0.023,-0.021,1.115,-2.267,-1.626,0.618,0.021,-0.022,1.056,-2.237,-1.634,0.626,0.027,-0.015,1.040,22.56,170
